Transaction ID,Date,Timestamp,Amount,Product ID,Customer ID,Vendor,Description,Location
e3e70682-c209-4cac-a29f-6fbed82c07cd,2024-01-04,2024-01-04 22:20:07,133.16,Stretchable Clothes,f728b4fa-4248-4e3a-8a5d-2f346baa9455,Banner Tech,Purchase of Stretchable Clothes from Banner Tech,"Dayton, Ohio"
eb1167b3-67a9-4378-bc65-c1e582e2e662,2024-02-09,2024-02-09 07:33:53,459.53,Espionage Tools,f7c1bd87-4da5-4709-9471-3d60c8a70639,Red Room Inc,Purchase of Espionage Tools from Red Room Inc,"St. Petersburg, Russia"
e443df78-9558-467f-9ba9-1faf7a024204,2024-02-04,2024-02-04 18:18:55,293.77,Spider Suit,23a7711a-8133-4876-b7eb-dcd9e87a1613,Parker Industries,Purchase of Spider Suit from Parker Industries,"Queens, New York"
1846d424-c17c-4279-a3c6-612f48268673,2024-01-14,2024-01-14 12:31:52,144.51,Asgardian Ale,fcbd04c3-4021-4ef7-8ca5-a5a19e4d6e3c,Asgardian Antiques,Purchase of Asgardian Ale from Asgardian Antiques,Asgard
b4862b21-fb97-4435-8856-1712e8e5216a,2024-03-18,2024-03-18 14:44:34,129.0,JARVIS AI,259f4329-e6f4-490b-9a16-4106cf6a659e,Stark Industries,Purchase of JARVIS AI from Stark Industries,"Malibu, California"
12e0c8b2-bad6-40fb-9948-8dec4f65d4d9,2024-03-19,2024-03-19 15:56:34,302.94,Tactical Clothing,5487ce1e-af19-422a-99b8-a714e61a441c,Red Room Inc,Purchase of Tactical Clothing from Red Room Inc,"St. Petersburg, Russia"
5a921187-19c7-4df4-8f4f-f31e78de5857,2024-01-10,2024-01-10 14:08:06,366.27,Asgardian Armor,a3f2c9bf-9c63-46b9-90f2-44556f25e2a2,Asgardian Antiques,Purchase of Asgardian Armor from Asgardian Antiques,Asgard
8d723104-f773-43c1-b458-a748e9bb17bc,2024-02-24,2024-02-24 08:27:37,54.85,Spider Suit,85776e9a-dd84-439e-b154-5a137a1d5006,Parker Industries,Purchase of Spider Suit from Parker Industries,"Queens, New York"
eb2083e6-ce16-4dba-8ff1-8e0242af9fc3,2024-02-29,2024-02-29 07:28:11,322.01,Stretchable Clothes,17e0aa3c-0398-4ca8-aa7e-9d498c778ea6,Banner Tech,Purchase of Stretchable Clothes from Banner Tech,"Dayton, Ohio"
b5d32b16-6619-4cb1-9710-37d1b83e90ec,2024-02-16,2024-02-16 07:30:48,224.13,Asgardian Ale,a0116be5-ab0c-4681-88f8-e3d0d3290a4c,Asgardian Antiques,Purchase of Asgardian Ale from Asgardian Antiques,Asgard
d3fbf47a-7e5b-4e7f-9ca5-499d004ae545,2024-01-07,2024-01-07 01:07:19,403.49,Espionage Tools,baf3897a-3e70-416a-9548-5822de1b372a,Red Room Inc,Purchase of Espionage Tools from Red Room Inc,"St. Petersburg, Russia"
101fbccc-ded7-43e8-b421-eaeb534097ca,2024-01-10,2024-01-10 01:20:21,361.25,Black Widow Gear,38c1962e-9148-424f-aac1-c14f30e9c5cc,Red Room Inc,Purchase of Black Widow Gear from Red Room Inc,"St. Petersburg, Russia"
247a8333-f7b0-47d2-8da8-056c3d15eef7,2024-03-21,2024-03-21 02:01:41,393.6,Calm Tea,1759edc3-72ae-4244-8b01-63c1cd9d2b7d,Banner Tech,Purchase of Calm Tea from Banner Tech,"Dayton, Ohio"
e005b860-51ef-4922-be43-c49e149818d1,2024-02-17,2024-02-17 22:07:11,414.89,JARVIS AI,7d41e602-eece-428b-bf7b-118e820865d6,Stark Industries,Purchase of JARVIS AI from Stark Industries,"Malibu, California"
4a84eb03-8d1f-49b7-8d2b-9deb1beb3711,2024-03-11,2024-03-11 21:40:20,165.98,Web Fluid,552f233a-8c25-466a-9ff3-9849b4e1357d,Parker Industries,Purchase of Web Fluid from Parker Industries,"Queens, New York"
3405095c-8a50-46c1-ac18-8efbd080e66e,2024-03-30,2024-03-30 00:48:32,285.92,Arc Reactor,8c1745a7-9a6a-4f92-8ca7-4147f6be1f72,Stark Industries,Purchase of Arc Reactor from Stark Industries,"Malibu, California"
1775336d-71ea-4d05-89a3-e80e966e1277,2024-03-18,2024-03-18 23:32:37,273.78,Mjolnir Replica,5129fb7c-6288-41a5-8c45-782198a6416d,Asgardian Antiques,Purchase of Mjolnir Replica from Asgardian Antiques,Asgard
2f120554-4a53-48cc-bdfa-bc08935ddd72,2024-02-01,2024-02-01 01:46:52,438.17,Arc Reactor,0870e15c-2fcd-41b5-924b-ace4307bf326,Stark Industries,Purchase of Arc Reactor from Stark Industries,"Malibu, California"
42930b33-a81a-4477-bb36-75b89cdeb3e6,2024-01-30,2024-01-30 06:25:18,277.88,Gamma Radiation Detector,adc0da7a-16fe-4aa0-91af-923d79fdef7c,Banner Tech,Purchase of Gamma Radiation Detector from Banner Tech,"Dayton, Ohio"
2648ee38-e074-45eb-a156-63abc1f254b8,2024-02-02,2024-02-02 07:21:53,408.16,JARVIS AI,148b2758-d7ab-4928-89e4-69e6ec62b2c8,Stark Industries,Purchase of JARVIS AI from Stark Industries,"Malibu, California"
d450fe4a-ec4f-417b-b306-d1a8e5eeac76,2024-03-18,2024-03-18 14:48:00,303.58,Black Widow Gear,d67e55fd-642b-4a42-aef9-c00b8a64c1b9,Red Room Inc,Purchase of Black Widow Gear from Red Room Inc,"St. Petersburg, Russia"
85940927-468f-453d-864a-7a50b48d73f1,2024-02-13,2024-02-13 04:53:58,50.36,Espionage Tools,37176e84-d977-4993-bc49-d76fcfc6e625,Red Room Inc,Purchase of Espionage Tools from Red Room Inc,"St. Petersburg, Russia"
d3447490-96fd-45d0-adf2-0806e5214606,2024-02-25,2024-02-25 21:21:50,124.84,Stretchable Clothes,46743741-9466-4472-ab5f-5241f323ca74,Banner Tech,Purchase of Stretchable Clothes from Banner Tech,"Dayton, Ohio"
a425799a-a905-4750-be1e-a9c573581a81,2024-03-20,2024-03-20 18:09:26,97.43,Mjolnir Replica,fb82860d-eabc-48d0-b341-facdff0ac0f1,Asgardian Antiques,Purchase of Mjolnir Replica from Asgardian Antiques,Asgard
5306f3f5-1516-4570-9b7c-709acb175a5a,2024-01-26,2024-01-26 05:58:29,240.88,Tactical Clothing,964a870c-7c87-4b74-9d87-8f9f9cdf5a86,Red Room Inc,Purchase of Tactical Clothing from Red Room Inc,"St. Petersburg, Russia"
30bcab0e-d857-4102-95d4-4936a1515607,2024-03-14,2024-03-14 13:20:42,69.46,JARVIS AI,4562be7f-bb42-40b2-8426-465e3e37952d,Stark Industries,Purchase of JARVIS AI from Stark Industries,"Malibu, California"
5f3f5638-3870-4a14-b490-b6081dfc8352,2024-03-22,2024-03-22 19:04:28,44.72,Mjolnir Replica,6d16ee18-5521-46dd-aba4-b180cb69ca38,Asgardian Antiques,Purchase of Mjolnir Replica from Asgardian Antiques,Asgard
c87a7463-19c1-4a0d-8feb-d845d0dfae43,2024-02-07,2024-02-07 23:47:09,419.74,Tactical Clothing,38018b47-b29a-4b06-9af6-6c5f2577bffa,Red Room Inc,Purchase of Tactical Clothing from Red Room Inc,"St. Petersburg, Russia"
a25b59fd-92e8-4269-912e-cbc40b9475b1,2024-02-20,2024-02-20 15:51:32,406.76,Espionage Tools,9a27d858-88c1-42ad-afbf-c19ee8f6cf32,Red Room Inc,Purchase of Espionage Tools from Red Room Inc,"St. Petersburg, Russia"
1fdb8b32-06d5-49e8-92f1-75ffae3b16ec,2024-02-27,2024-02-27 06:20:10,413.51,Asgardian Ale,d480865f-9b38-4e80-b042-e325a28f5ab0,Asgardian Antiques,Purchase of Asgardian Ale from Asgardian Antiques,Asgard
176ea1b1-6426-4cd5-9ea4-5cd69371a71f,2024-01-27,2024-01-27 17:17:15,228.03,Calm Tea,1db53334-fb03-43a1-9576-d4155ec17dbe,Banner Tech,Purchase of Calm Tea from Banner Tech,"Dayton, Ohio"
31d0b664-0589-4877-9b02-52440950fd13,2024-02-01,2024-02-01 11:43:53,308.33,Web Fluid,b7d6467b-2f5a-422a-b87f-43fdf6062541,Parker Industries,Purchase of Web Fluid from Parker Industries,"Queens, New York"
ba26d851-35e8-479a-baaf-0e891fb797fa,2024-03-02,2024-03-02 04:20:59,170.96,Calm Tea,ade9b2b4-efdd-45f8-8fa3-4266ccfdba9b,Banner Tech,Purchase of Calm Tea from Banner Tech,"Dayton, Ohio"
9edfa3da-6cf5-4b15-8b53-031d05d51433,2024-01-02,2024-01-02 13:46:11,367.09,Mjolnir Replica,11ebcd49-428a-4c22-95fd-b76a19fbeb1d,Asgardian Antiques,Purchase of Mjolnir Replica from Asgardian Antiques,Asgard
4d125e7f-a59c-4c98-926c-bc8f38884479,2024-01-22,2024-01-22 09:42:37,189.17,JARVIS AI,0fa07a3f-2e29-4065-afa2-31e959acdd98,Stark Industries,Purchase of JARVIS AI from Stark Industries,"Malibu, California"
98b33c6e-0a14-490a-b795-e98680ee526e,2024-02-11,2024-02-11 08:57:27,408.88,Asgardian Armor,642aad48-fcfc-4a81-b306-d70019d5f970,Asgardian Antiques,Purchase of Asgardian Armor from Asgardian Antiques,Asgard
e786ab37-5bca-47be-8298-17c53308fb2e,2024-03-24,2024-03-24 01:02:46,350.35,Arc Reactor,e6fd68e8-d69c-41c2-b860-1602bb4a06cb,Stark Industries,Purchase of Arc Reactor from Stark Industries,"Malibu, California"
b29c467d-2b5f-4932-91dc-59efeb21a3f6,2024-03-02,2024-03-02 13:48:28,455.46,JARVIS AI,c470f0e7-f76f-4fb8-b412-fc12ac322c12,Stark Industries,Purchase of JARVIS AI from Stark Industries,"Malibu, California"
28805c5d-ad1b-4f60-89e4-dab20edc6d2b,2024-03-07,2024-03-07 01:53:15,41.63,Tactical Clothing,878b9f6b-57a1-4b71-a975-d279d86dbf11,Red Room Inc,Purchase of Tactical Clothing from Red Room Inc,"St. Petersburg, Russia"
ebe21368-98c7-4205-9e01-a934402d0baf,2024-01-19,2024-01-19 07:17:05,305.14,JARVIS AI,0361524c-2cc0-4859-aa65-24ab713b7e05,Stark Industries,Purchase of JARVIS AI from Stark Industries,"Malibu, California"
e66cd36e-68ef-4f5f-ae68-690a78bc7175,2024-02-07,2024-02-07 23:35:02,50.31,Black Widow Gear,eae2025e-8233-4e23-9ff3-334b91b15f5d,Red Room Inc,Purchase of Black Widow Gear from Red Room Inc,"St. Petersburg, Russia"
637e0edc-5b6e-4ae7-a620-81434fbaecc0,2024-02-28,2024-02-28 18:55:37,15.71,Arc Reactor,27460f22-403d-4f83-a859-890cd670f668,Stark Industries,Purchase of Arc Reactor from Stark Industries,"Malibu, California"
753c7c99-032f-46ca-b0d9-c2aa8f837ef7,2024-01-13,2024-01-13 00:41:47,242.22,Asgardian Ale,bd30291a-55fe-408e-943e-2e04bdd7d19b,Asgardian Antiques,Purchase of Asgardian Ale from Asgardian Antiques,Asgard
2284b7a4-47e7-4593-8b58-85ca0bb2c3f0,2024-01-03,2024-01-03 05:05:14,274.4,JARVIS AI,7b59051b-f400-48d7-831d-5a973d792fa1,Stark Industries,Purchase of JARVIS AI from Stark Industries,"Malibu, California"
ac642b4c-49b2-4ded-9c31-d9b25a2b745b,2024-03-22,2024-03-22 03:47:39,133.66,Black Widow Gear,e456697c-f268-4baa-971c-702d5bf49c04,Red Room Inc,Purchase of Black Widow Gear from Red Room Inc,"St. Petersburg, Russia"
21e15094-9efe-4464-9a90-f534a23d4c9d,2024-03-03,2024-03-03 19:26:46,154.03,Mjolnir Replica,bf9cc545-6355-48f7-8f6f-a985b732d46f,Asgardian Antiques,Purchase of Mjolnir Replica from Asgardian Antiques,Asgard
14aa451c-a69c-4b85-9432-f8db6a174c1c,2024-01-06,2024-01-06 22:14:21,254.3,Gamma Radiation Detector,b2d650af-313b-42b7-9836-31890063e42f,Banner Tech,Purchase of Gamma Radiation Detector from Banner Tech,"Dayton, Ohio"
391cf046-3d4a-4d51-a8fa-fd04559b5975,2024-01-10,2024-01-10 19:09:48,351.16,JARVIS AI,b5d97ef7-60ef-4471-b2b8-ff39a32c9b6f,Stark Industries,Purchase of JARVIS AI from Stark Industries,"Malibu, California"
dfe1b307-9172-4f0a-ac7c-8803e01bbf50,2024-01-26,2024-01-26 06:09:15,182.48,Gamma Radiation Detector,df26f517-66fa-4989-8813-5d586a1689ad,Banner Tech,Purchase of Gamma Radiation Detector from Banner Tech,"Dayton, Ohio"
c5adf681-6b10-453a-9145-de05b3ab1b2c,2024-01-17,2024-01-17 10:47:16,350.36,Calm Tea,2a69acc7-0bf9-40ef-b581-6b74a985ab61,Banner Tech,Purchase of Calm Tea from Banner Tech,"Dayton, Ohio"
b3969057-425c-4200-905a-da6b720299e3,2024-03-17,2024-03-17 13:41:01,339.72,Mjolnir Replica,e28bc9ff-870f-484c-b244-f536285e25b4,Asgardian Antiques,Purchase of Mjolnir Replica from Asgardian Antiques,Asgard
9a9e4310-8fb8-4bab-a875-4cd37cbd7025,2024-02-21,2024-02-21 09:45:51,129.09,Asgardian Armor,09f6048f-e245-4460-8004-884cc167733f,Asgardian Antiques,Purchase of Asgardian Armor from Asgardian Antiques,Asgard
d675ebf7-4fe3-4c9a-9371-0f577e9cf84f,2024-03-05,2024-03-05 14:58:26,91.54,Espionage Tools,d29dc5df-cf1d-4110-8cc3-6d8c77863fe5,Red Room Inc,Purchase of Espionage Tools from Red Room Inc,"St. Petersburg, Russia"
6a46721a-cffa-4cdd-b963-a7efe00111e5,2024-02-09,2024-02-09 19:08:55,450.55,Calm Tea,f689a4a5-ffda-4336-8c6e-90373020da5c,Banner Tech,Purchase of Calm Tea from Banner Tech,"Dayton, Ohio"
