Transaction ID,Invoice Date,Delivery Date,Sales Amount,Invoice Number,Customer ID
2,12/14/2022,12/26/2022,11.04,1002,46
91,12/8/2023,12/12/2023,45.97,1091,34
25,3/17/2023,3/22/2023,75.77,1025,28
15,1/28/2023,2/5/2023,139.14,1015,47
33,5/11/2023,5/19/2023,170.9,1033,24
51,7/24/2023,7/25/2023,201.39,1051,46
20,3/2/2023,3/10/2023,304.69,1020,4
42,6/10/2023,6/22/2023,309.93,1042,23
5,12/22/2022,12/31/2022,337.67,1005,38
11,1/22/2023,1/31/2023,344.9,1011,21
62,8/28/2023,8/31/2023,358.16,1062,26
90,12/2/2023,12/14/2023,360.09,1090,28
93,12/21/2023,12/31/2023,365.86,1093,32
70,9/30/2023,10/7/2023,385.53,1070,29
58,8/17/2023,8/27/2023,426.05,1058,2
12,1/22/2023,1/30/2023,445.34,1012,30
47,7/3/2023,7/4/2023,448.28,1047,42
61,8/27/2023,9/9/2023,464.81,1061,2
35,5/19/2023,5/21/2023,491.9,1035,49
10,1/20/2023,1/27/2023,495.81,1010,34
17,2/19/2023,3/2/2023,501.28,1017,5
16,2/10/2023,2/18/2023,515.29,1016,33
65,8/31/2023,9/4/2023,529.05,1065,33
22,3/13/2023,3/16/2023,540.89,1022,49
9,1/19/2023,1/28/2023,546.13,1009,27
71,10/3/2023,10/16/2023,564.95,1071,42
85,11/16/2023,11/21/2023,575,1085,16
4,12/21/2022,1/3/2023,616.51,1004,38
86,11/25/2023,12/1/2023,617.67,1086,14
97,1/6/2024,1/13/2024,623.04,1097,22
46,7/1/2023,7/4/2023,658.66,1046,25
26,4/1/2023,4/11/2023,696.69,1026,30
50,7/6/2023,7/9/2023,703.85,1050,40
3,12/21/2022,1/2/2023,711.61,1003,30
94,12/23/2023,12/30/2023,739.27,1094,23
34,5/16/2023,5/28/2023,745.61,1034,29
82,11/10/2023,11/20/2023,750.84,1082,1
53,7/30/2023,8/9/2023,801.17,1053,50
39,6/8/2023,6/16/2023,803.66,1039,33
14,1/24/2023,2/5/2023,813.63,1014,28
75,10/12/2023,10/25/2023,814.97,1075,25
24,3/16/2023,3/27/2023,827.96,1024,44
30,4/29/2023,5/11/2023,901.09,1030,35
88,11/29/2023,12/11/2023,902.36,1088,23
37,6/6/2023,6/13/2023,945.9,1037,31
7,1/13/2023,1/26/2023,974.81,1007,8
87,11/25/2023,12/7/2023,976.37,1087,12
92,12/21/2023,1/1/2024,992.85,1092,2
43,6/20/2023,6/28/2023,1021.32,1043,33
99,1/18/2024,1/19/2024,1022.54,1099,49
64,8/28/2023,8/29/2023,1038.11,1064,40
54,8/1/2023,8/8/2023,1040.33,1054,32
29,4/14/2023,4/23/2023,1066.56,1029,6
6,1/4/2023,1/17/2023,1072.84,1006,45
59,8/21/2023,8/31/2023,1087.48,1059,27
98,1/14/2024,1/15/2024,1089.66,1098,22
31,5/1/2023,5/8/2023,1110.26,1031,41
13,1/23/2023,1/24/2023,1120.62,1013,33
68,9/20/2023,9/25/2023,1121,1068,48
81,11/9/2023,11/11/2023,1165.57,1081,20
32,5/10/2023,5/19/2023,1189.47,1032,37
27,4/10/2023,4/17/2023,1272.36,1027,29
100,1/24/2024,2/2/2024,1276.3,1100,42
1,12/2/2022,12/14/2022,1298.9,1001,22
80,11/5/2023,11/17/2023,1341.29,1080,45
56,8/10/2023,8/21/2023,1354.62,1056,22
28,4/10/2023,4/20/2023,1364.6,1028,46
8,1/18/2023,1/19/2023,1387.95,1008,27
60,8/22/2023,9/3/2023,1394.61,1060,42
44,6/24/2023,6/30/2023,1394.67,1044,3
18,2/26/2023,3/1/2023,1395.65,1018,48
72,10/5/2023,10/16/2023,1403.71,1072,26
48,7/3/2023,7/6/2023,1425.19,1048,31
19,2/27/2023,2/28/2023,1427.42,1019,19
96,12/25/2023,1/3/2024,1444.67,1096,25
57,8/15/2023,8/24/2023,1473.08,1057,23
95,12/23/2023,1/4/2024,1490.9,1095,22
79,11/3/2023,11/9/2023,1572.83,1079,36
41,6/9/2023,6/12/2023,1598.71,1041,32
36,5/24/2023,5/25/2023,1608.25,1036,46
49,7/5/2023,7/10/2023,1620.91,1049,3
40,6/8/2023,6/13/2023,1634.7,1040,21
55,8/9/2023,8/16/2023,1677.04,1055,47
73,10/6/2023,10/19/2023,1694.86,1073,35
77,10/25/2023,11/5/2023,1703.35,1077,13
74,10/10/2023,10/14/2023,1714.09,1074,50
45,6/26/2023,7/7/2023,1718.13,1045,18
69,9/22/2023,9/29/2023,1766.45,1069,39
76,10/16/2023,10/23/2023,1776.66,1076,24
78,10/27/2023,10/30/2023,1871.91,1078,7
83,11/11/2023,11/24/2023,1880.87,1083,8
52,7/25/2023,7/30/2023,1881.64,1052,24
67,9/6/2023,9/10/2023,1931.18,1067,43
84,11/14/2023,11/23/2023,1947.59,1084,46
23,3/13/2023,3/14/2023,1953.46,1023,17
63,8/28/2023,9/4/2023,1964.52,1063,17
38,6/7/2023,6/14/2023,1967.01,1038,35
89,12/2/2023,12/14/2023,1988.97,1089,15
66,9/3/2023,9/16/2023,1992.54,1066,9
21,3/10/2023,3/13/2023,1995.5,1021,35
