Transaction ID,Invoice Date,Delivery Date,Sales Amount,Invoice Number,Customer ID
1,2022-12-01,2022-12-06,1634.89,1001,24
2,2022-12-01,2022-12-03,876.96,1002,18
3,2022-12-01,2022-12-07,1105.36,1003,47
4,2022-12-01,2022-12-08,1320.94,1004,37
5,2022-12-01,2022-12-14,1403.9,1005,49
6,2022-12-01,2022-12-10,980.5,1006,31
7,2022-12-01,2022-12-07,1001.37,1007,14
8,2022-12-01,2022-12-04,1250.96,1008,1
9,2022-12-01,2022-12-13,1250.63,1009,14
10,2022-12-01,2022-12-06,487.47,1010,41
11,2022-12-01,2022-12-05,1112.48,1011,5
12,2022-12-01,2022-12-06,1160.39,1012,31
13,2022-12-01,2022-12-09,511.84,1013,31
14,2022-12-01,2022-12-09,1452.96,1014,30
15,2022-12-01,2022-12-07,1206.37,1015,36
16,2022-12-01,2022-12-02,2165.32,1016,1
17,2022-12-01,2022-12-09,986.99,1017,3
18,2022-12-01,2022-12-09,1568.06,1018,20
19,2022-12-01,2022-12-03,1269.56,1019,43
20,2022-12-01,2022-12-05,1960.72,1020,48
21,2022-12-01,2022-12-13,515.01,1021,43
22,2022-12-01,2022-12-03,752.34,1022,21
23,2022-12-01,2022-12-05,532.15,1023,30
24,2022-12-01,2022-12-13,961.04,1024,42
25,2022-12-01,2022-12-14,437.64,1025,44
26,2022-12-01,2022-12-14,236.96,1026,30
27,2022-12-01,2022-12-11,10.0,1027,5
28,2022-12-01,2022-12-08,10.0,1028,10
29,2022-12-02,2022-12-11,1328.2,1029,24
30,2022-12-02,2022-12-10,772.28,1030,45
31,2022-12-02,2022-12-14,383.12,1031,39
32,2022-12-02,2022-12-11,670.46,1032,48
33,2022-12-02,2022-12-10,736.05,1033,6
34,2022-12-02,2022-12-04,517.7,1034,10
35,2022-12-02,2022-12-09,1802.78,1035,42
36,2022-12-02,2022-12-04,1708.41,1036,43
37,2022-12-02,2022-12-15,1794.24,1037,10
38,2022-12-02,2022-12-14,1089.6,1038,25
39,2022-12-02,2022-12-13,1140.23,1039,14
40,2022-12-02,2022-12-04,673.69,1040,47
41,2022-12-02,2022-12-06,576.46,1041,39
42,2022-12-02,2022-12-03,1010.86,1042,13
43,2022-12-02,2022-12-07,1326.18,1043,11
44,2022-12-02,2022-12-08,1597.88,1044,39
45,2022-12-02,2022-12-11,727.01,1045,11
46,2022-12-02,2022-12-12,373.63,1046,46
47,2022-12-02,2022-12-10,1366.99,1047,49
48,2022-12-02,2022-12-04,90.93,1048,16
49,2022-12-02,2022-12-03,980.39,1049,33
50,2022-12-02,2022-12-04,1044.65,1050,41
51,2022-12-02,2022-12-09,810.61,1051,41
52,2022-12-02,2022-12-06,227.38,1052,32
53,2022-12-03,2022-12-13,817.19,1053,10
54,2022-12-03,2022-12-08,1821.27,1054,15
55,2022-12-03,2022-12-15,1295.86,1055,16
56,2022-12-03,2022-12-10,1580.86,1056,43
57,2022-12-03,2022-12-06,391.4,1057,27
58,2022-12-03,2022-12-13,1127.85,1058,49
59,2022-12-03,2022-12-05,1044.17,1059,45
60,2022-12-03,2022-12-16,1053.85,1060,32
61,2022-12-03,2022-12-10,1277.92,1061,6
62,2022-12-03,2022-12-08,1073.66,1062,47
63,2022-12-03,2022-12-04,405.27,1063,48
64,2022-12-03,2022-12-04,1306.63,1064,36
65,2022-12-03,2022-12-12,1420.44,1065,8
66,2022-12-03,2022-12-08,1659.74,1066,25
67,2022-12-03,2022-12-04,1681.83,1067,7
68,2022-12-03,2022-12-10,1238.22,1068,17
69,2022-12-03,2022-12-12,428.58,1069,48
70,2022-12-03,2022-12-14,235.31,1070,30
71,2022-12-03,2022-12-04,886.45,1071,2
72,2022-12-03,2022-12-13,1459.74,1072,17
73,2022-12-03,2022-12-16,1427.52,1073,4
74,2022-12-03,2022-12-07,1137.0,1074,26
75,2022-12-03,2022-12-06,981.72,1075,14
76,2022-12-04,2022-12-09,1951.87,1076,8
77,2022-12-04,2022-12-11,1287.02,1077,5
78,2022-12-04,2022-12-12,956.36,1078,5
79,2022-12-04,2022-12-17,677.28,1079,5
80,2022-12-04,2022-12-06,495.7,1080,27
81,2022-12-04,2022-12-11,446.47,1081,5
82,2022-12-04,2022-12-05,495.75,1082,3
83,2022-12-04,2022-12-11,1140.48,1083,38
84,2022-12-04,2022-12-12,990.97,1084,30
85,2022-12-04,2022-12-06,837.04,1085,1
86,2022-12-04,2022-12-13,1368.24,1086,8
87,2022-12-04,2022-12-05,1904.59,1087,13
88,2022-12-04,2022-12-17,588.33,1088,20
89,2022-12-04,2022-12-10,662.86,1089,6
90,2022-12-04,2022-12-05,10.0,1090,50
